num_envs,world_size,event_segments,last_iteration,coverage_hours,common_budget_hours,endpoint_time_hours,endpoint_online_mean_sr,eval_checkpoint_step,eval_checkpoint_active_hours,eval_seed_count,eval_seeds,eval_mean_sr,eval_std_sr
40,1,2,33399,18.707709,15.683167,15.682845,0.15312687,28000,15.618589,1,42,0.05500000,
80,1,2,28900,17.318980,15.683167,15.682661,0.24541077,26000,15.600848,1,42,0.32500000,
200,1,2,37828,25.304364,15.683167,15.682851,0.35053045,24000,16.011899,1,42,0.34800000,
400,1,2,42474,32.056500,15.683167,15.682675,0.50816226,20400,15.354361,1,42,0.54100000,
800,1,2,29244,25.342476,15.683167,15.682383,0.60874540,18000,15.536794,1,42,0.65500000,
1000,1,2,34337,33.491704,15.683167,15.682371,0.61689746,16100,15.659115,1,42,0.67800000,
2000,1,2,30091,39.070140,15.683167,15.682212,0.72188818,12000,15.679483,1,42,0.73100000,
4000,1,3,13049,25.581902,15.683167,15.682340,0.73625970,8000,15.585959,1,42,0.76000000,
8000,4,1,16249,21.307913,15.683167,15.682584,0.81189662,12000,15.593786,1,42,0.77800000,
16000,8,3,46636,70.404462,15.683167,15.683080,0.83498019,10000,15.701935,1,42,0.83400000,
